n,opt2,wyzyz,farthest
5 , 0.0006061315536499024 , 0.0006962776184082031 , 0.0007944583892822265
10 , 0.01345975399017334 , 0.003391456604003906 , 0.001497173309326172
15 , 0.0787912130355835 , 0.010966944694519042 , 0.003891396522521973
20 , 0.2673936367034912 , 0.013457965850830079 , 0.007776498794555664
25 , 0.7198735475540161 , 0.0335097074508667 , 0.011973738670349121
30 , 1.3738330364227296 , 0.05045957565307617 , 0.019945168495178224
35 , 2.680330753326416 , 0.08017828464508056 , 0.029618000984191893
40 , 4.8432594537734985 , 0.08816497325897217 , 0.03999438285827637
45 , 8.685251474380493 , 0.14860160350799562 , 0.057044816017150876
50 , 12.56570324897766 , 0.15728890895843506 , 0.0720968246459961
55 , 19.48207585811615 , 0.18219611644744874 , 0.09695510864257813
60 , 27.87697129249573 , 0.21114563941955566 , 0.11748452186584472
65 , 38.16774342060089 , 0.2220024824142456 , 0.1448129892349243
